Ablehnungsgrund,Adresse,Bewerbungsdatum,Bewerbungsquelle,Bewertung Assessment,Bewertung Erstes Gespräch,Bewertung Prescreening,E-Mail,Effektiver Gehalt,Einstellungsdatum,Geburtsdatum,Gehaltsvorstellungen,Geschlecht,Headhunter Firma,Headhunter Name,Interviewer,Job Titel,Kandidaten-ID,Nachname,Standort,Status,StellenID,Telefonnummer,Veröffentlichungsdatum,Vorname,id
Überqualifiziert,"Pseudonymized, 8147 Tessin",26.01.2023,Headhunter,genügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_122,108472.53,28.01.2023,23.08.1990,>140k,F,Maurer Inc,Aloisia Stöckli-Bühlmann,Prof. Layla Küng,SEO Specialist,4687e151-142c-439d-bc60-7e7fea9fb783,pseudonymized_Nachname_122,Zürich,Abgelehnt,944c0a2b-b906-4fbd-8d0b-a099ccdf8b8f,pseudonymized_Telefonnummer_122,03.06.2023,pseudonymized_Vorname_122,caf2
Unzureichende Qualifikationen,"Pseudonymized, 9858 Schwyz",11.04.2021,Headhunter,gut,sehr gut,sehr gut,pseudonymized_E-Mail_123,133788.96,11.07.2022,05.08.1971,60-70k,M,Maurer Inc,Aloisia Stöckli-Bühlmann,Prof. Layla Küng,Copywriter,8d1bddc6-a393-4ef5-9081-27ac9c0f1f6e,pseudonymized_Nachname_123,Zürich,1. Interview,5a1468e4-3234-4262-ac9f-e9a342ccaea6,pseudonymized_Telefonnummer_123,01.06.2023,pseudonymized_Vorname_123,2905
Zu wenig Erfahrung,"Pseudonymized, 7818 Wallis",14.03.2024,Headhunter,knapp ungenügend,gut,gut,pseudonymized_E-Mail_124,72979.09,08.04.2024,31.10.1996,70-80k,M,Maurer Inc,Aloisia Stöckli-Bühlmann,Margret Hasler,Graphic Designer,7cdf15fa-1aac-4bc9-ae4c-29d5c923efce,pseudonymized_Nachname_124,Luzern,Angebot,08756d7e-7e4b-43f7-b5ae-e349416d5b58,pseudonymized_Telefonnummer_124,14.04.2024,pseudonymized_Vorname_124,2cdc
Nicht verfügbar,"Pseudonymized, 8062 Wallis",25.04.2022,Headhunter,deutlich ungenügend,gut,genügend,pseudonymized_E-Mail_125,120889.17,23.05.2023,22.02.1999,>140k,M,Spörri-Gasser,Ela Imhof Bachmann,Franca Zürcher,Software Engineer,88f84ca8-68ee-40a1-9ccf-5e59e8f017c4,pseudonymized_Nachname_125,Bern,Angebot,42befb21-4411-4de2-ab15-27552022ac0d,pseudonymized_Telefonnummer_125,19.02.2023,pseudonymized_Vorname_125,8f31
Bessere Kandidaten,"Pseudonymized, 2981 Schaffhausen",04.11.2022,Headhunter,deutlich ungenügend,knapp ungenügend,gut,pseudonymized_E-Mail_126,95852.18,08.10.2023,21.07.1965,50-60k,M,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Hermine Hess,Auditor,5df32f05-4a66-4d73-a531-2e5ab4d37daa,pseudonymized_Nachname_126,Bern,Assessment,9eeddfe6-43da-44cf-869e-9606760dc4cf,pseudonymized_Telefonnummer_126,20.03.2024,pseudonymized_Vorname_126,f059
Unvollständige Bewerbung,"Pseudonymized, 4823 Bern",22.12.2022,Headhunter,knapp ungenügend,knapp ungenügend,gut,pseudonymized_E-Mail_127,101614.87,09.01.2023,08.08.2000,110-120k,F,Zingg-Gasser,Damaris Zbinden,Marijana Blaser Schuler,Social Media Manager,def2832e-7aee-4e18-bf94-c19d8e45e19d,pseudonymized_Nachname_127,Bern,Abgelehnt,de10b40c-8f28-4808-b9dc-28329ada5823,pseudonymized_Telefonnummer_127,16.10.2023,pseudonymized_Vorname_127,26c1
Überqualifiziert,"Pseudonymized, 7424 Aargau",01.06.2024,Headhunter,knapp ungenügend,gut,genügend,pseudonymized_E-Mail_128,111639.82,03.06.2024,21.11.1959,>140k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Greta Berger-Eichenberger,Content Creator,26436640-7075-44de-ad81-f3d8d69d72d2,pseudonymized_Nachname_128,Bern,Prescreening,9cbadea7-e0f3-4284-a2d7-98c6c0ec26cc,pseudonymized_Telefonnummer_128,03.06.2024,pseudonymized_Vorname_128,3936
Gehaltsvorstellungen zu hoch,"Pseudonymized, 8757 Jura",22.05.2020,Headhunter,deutlich ungenügend,knapp ungenügend,genügend,pseudonymized_E-Mail_129,106549.99,18.11.2021,29.06.1986,90-100k,M,Albrecht-Forster,Dr. Petr Siegrist,Margret Hasler,Auditor,4fd56d24-da0f-467b-834e-22b8cf3e9b09,pseudonymized_Nachname_129,Bern,Angebot,dbf2e874-89c7-46a3-ad89-fbf76be51303,pseudonymized_Telefonnummer_129,07.01.2021,pseudonymized_Vorname_129,5967
Unzureichende Qualifikationen,"Pseudonymized, 3226 Nidwalden",23.12.2022,Headhunter,sehr gut,knapp ungenügend,gut,pseudonymized_E-Mail_130,61912.37,29.09.2023,24.12.1961,>140k,M,Albrecht-Forster,Dr. Petr Siegrist,Zahra Hug Lutz,Auditor,37827e16-d5fe-4c6b-9528-8961c3bb65fb,pseudonymized_Nachname_130,Zürich,Eingereicht,112baf50-f2d2-41ec-9475-9fd22466884c,pseudonymized_Telefonnummer_130,18.01.2023,pseudonymized_Vorname_130,06da
Überqualifiziert,"Pseudonymized, 1155 Genf",22.10.2020,Headhunter,genügend,genügend,knapp ungenügend,pseudonymized_E-Mail_131,114074.91,17.09.2021,09.05.1980,110-120k,M,Zingg-Gasser,Damaris Zbinden,Prof. Layla Küng,Software Engineer,95c99f64-d34d-43a2-870d-d5450d9f6eb2,pseudonymized_Nachname_131,Zürich,Prescreening,cc2161cf-e61b-4bca-9a09-ba9bcc2defcb,pseudonymized_Telefonnummer_131,29.01.2021,pseudonymized_Vorname_131,633f
Bessere Kandidaten,"Pseudonymized, 4443 Waadt",07.12.2021,Headhunter,knapp ungenügend,deutlich ungenügend,gut,pseudonymized_E-Mail_132,62748.77,16.08.2023,01.11.1999,120-130k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Greta Berger-Eichenberger,Accountant,90867b89-6c8e-477d-ba35-525caae62a9b,pseudonymized_Nachname_132,Bern,Angebot,bc74c31b-49c3-49d3-a7e1-0f5065dc964c,pseudonymized_Telefonnummer_132,09.10.2022,pseudonymized_Vorname_132,a03d
Andere,"Pseudonymized, 2340 Luzern",18.11.2020,Headhunter,deutlich ungenügend,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_133,104360.38,15.11.2023,16.03.1975,80-90k,M,Ziegler Inc,Teresa Schneider,Marijana Blaser Schuler,IT Manager,2999962b-c882-47f2-9e2e-624faafc8e68,pseudonymized_Nachname_133,Zürich,Abgelehnt,914515b0-643a-4f97-b25a-9d7204e050ab,pseudonymized_Telefonnummer_133,04.09.2023,pseudonymized_Vorname_133,efda
Andere,"Pseudonymized, 4423 Appenzell Ausserrhoden",27.09.2022,Headhunter,sehr gut,genügend,gut,pseudonymized_E-Mail_134,119697.1,11.05.2024,13.02.1960,110-120k,M,Maurer Inc,Aloisia Stöckli-Bühlmann,Wanda Giger,Auditor,c8eeccc9-3b42-4596-a092-ba31937d995b,pseudonymized_Nachname_134,Zürich,Eingereicht,0e0e6b8e-c202-47c5-9fd6-de78470c1d78,pseudonymized_Telefonnummer_134,20.07.2023,pseudonymized_Vorname_134,526d
Zu wenig Erfahrung,"Pseudonymized, 8515 Uri",26.02.2021,Headhunter,gut,sehr gut,gut,pseudonymized_E-Mail_135,128751.32,16.05.2021,30.05.1960,90-100k,M,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Ghislaine Walter,HR Specialist,143f6fa2-e91a-41d8-96a7-3fb4e27a9161,pseudonymized_Nachname_135,Zürich,Abgelehnt,f33e24ed-85a3-4999-baa1-4de1412d7b26,pseudonymized_Telefonnummer_135,21.10.2023,pseudonymized_Vorname_135,b847
Unvollständige Bewerbung,"Pseudonymized, 2115 Tessin",18.08.2023,Headhunter,knapp ungenügend,genügend,knapp ungenügend,pseudonymized_E-Mail_136,61813.46,20.01.2024,23.04.2001,>140k,F,"Siegrist, Ziegler and Schürch",Enis Bühler,Franca Zürcher,Marketing Manager,7452ab0d-73de-495d-a806-eed256437492,pseudonymized_Nachname_136,Zürich,Assessment,0284fbb2-a68e-4a19-afe7-b8d52c67060b,pseudonymized_Telefonnummer_136,17.11.2023,pseudonymized_Vorname_136,d0b4
Nicht verfügbar,"Pseudonymized, 2990 Uri",14.03.2023,Headhunter,genügend,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_137,136654.32,11.04.2023,01.04.1995,50-60k,M,Spörri-Gasser,Ela Imhof Bachmann,Ghislaine Walter,Software Engineer,10f391df-448e-448d-8c8e-eddf22518c8f,pseudonymized_Nachname_137,Luzern,Angebot,c1a77e92-d264-4dab-9710-acef86e6f54e,pseudonymized_Telefonnummer_137,15.03.2023,pseudonymized_Vorname_137,7b34
Bessere Kandidaten,"Pseudonymized, 9063 Obwalden",27.02.2021,Headhunter,knapp ungenügend,genügend,genügend,pseudonymized_E-Mail_138,121348.34,06.02.2023,04.01.1973,50-60k,M,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Manon Bättig,IT Manager,a24a4130-dc9a-43e1-855c-eb53cd3c153d,pseudonymized_Nachname_138,Zürich,Eingereicht,54a3e7d7-93ee-4da7-a379-a6de16dc57e8,pseudonymized_Telefonnummer_138,28.11.2022,pseudonymized_Vorname_138,ffc0
Bessere Kandidaten,"Pseudonymized, 5448 Appenzell Ausserrhoden",14.12.2022,Headhunter,sehr gut,gut,gut,pseudonymized_E-Mail_139,131923.49,13.01.2024,28.04.1983,70-80k,F,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Kristian Furrer,Accountant,4c09d38f-2a57-4605-92d2-07349b2a68ba,pseudonymized_Nachname_139,Zürich,1. Interview,20b8c02d-3fa0-4cbe-aefe-bebf910c1471,pseudonymized_Telefonnummer_139,23.12.2023,pseudonymized_Vorname_139,f957
Unvollständige Bewerbung,"Pseudonymized, 7259 Basel-Landschaft",27.12.2023,Headhunter,gut,genügend,knapp ungenügend,pseudonymized_E-Mail_140,106658.25,29.12.2023,05.07.1978,110-120k,M,Albrecht-Forster,Dr. Petr Siegrist,Irene Fuchs,Payroll Specialist,4e0a2ab0-e8a5-42c0-974d-185b5d278a6d,pseudonymized_Nachname_140,Luzern,Eingereicht,f109077f-419c-4bf4-8ba2-591c75d61d58,pseudonymized_Telefonnummer_140,24.03.2024,pseudonymized_Vorname_140,20fe
Bessere Kandidaten,"Pseudonymized, 9218 Basel-Stadt",15.09.2020,Headhunter,deutlich ungenügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_141,65829.08,10.05.2023,01.09.1999,60-70k,M,Zehnder Inc,Dr. Mercedes Kaiser,Irene Fuchs,Auditor,6dd87abd-0094-4876-ae5b-8fa18a90468e,pseudonymized_Nachname_141,Luzern,1. Interview,6c3c1519-72c8-4ce3-80ef-d62204b3e678,pseudonymized_Telefonnummer_141,05.11.2023,pseudonymized_Vorname_141,00b0
Gehaltsvorstellungen zu hoch,"Pseudonymized, 5430 Solothurn",07.06.2022,Headhunter,knapp ungenügend,gut,knapp ungenügend,pseudonymized_E-Mail_142,95216.64,11.06.2023,18.09.1976,110-120k,M,Ziegler Inc,Teresa Schneider,Manon Bättig,Copywriter,802ba83b-55ae-4f6e-9215-16216fd6c1c9,pseudonymized_Nachname_142,Bern,Angebot,40b6e271-cecb-40cd-bda3-b95619d4f12b,pseudonymized_Telefonnummer_142,19.02.2023,pseudonymized_Vorname_142,f025
Nicht verfügbar,"Pseudonymized, 4667 Schwyz",17.08.2021,Headhunter,knapp ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_143,122025.82,14.09.2022,31.12.1985,70-80k,F,Spörri-Gasser,Ela Imhof Bachmann,Ghislaine Walter,Database Administrator,09c5355c-3a16-453d-8d3b-62161b7879fe,pseudonymized_Nachname_143,Bern,Eingereicht,0f869692-4779-44e6-9efa-620d59a02b90,pseudonymized_Telefonnummer_143,17.05.2024,pseudonymized_Vorname_143,3c58
Unzureichende Qualifikationen,"Pseudonymized, 9531 Waadt",26.04.2023,Headhunter,genügend,gut,gut,pseudonymized_E-Mail_144,92851.48,13.04.2024,22.10.1966,130-140k,F,Tanner-Stadelmann,Jasin Näf,Margret Hasler,Auditor,b3bc8db9-c3d9-40fb-8f61-25556b553468,pseudonymized_Nachname_144,Zürich,Eingereicht,864e03dc-1c4b-476f-ba16-181e90c1cd80,pseudonymized_Telefonnummer_144,16.01.2024,pseudonymized_Vorname_144,babc
Andere,"Pseudonymized, 4558 Nidwalden",04.12.2021,Headhunter,genügend,genügend,genügend,pseudonymized_E-Mail_145,59951.54,26.11.2022,13.09.1985,100-110k,F,Zehnder Inc,Dr. Mercedes Kaiser,Marijana Blaser Schuler,Payroll Specialist,063c8b73-89b8-44d7-b940-2be2d05339c0,pseudonymized_Nachname_145,Zürich,Assessment,6b37035b-b586-4d32-ad34-7c85b3f81311,pseudonymized_Telefonnummer_145,18.05.2024,pseudonymized_Vorname_145,6328
Bessere Kandidaten,"Pseudonymized, 5089 Zürich",14.05.2021,Headhunter,knapp ungenügend,gut,knapp ungenügend,pseudonymized_E-Mail_146,135816.77,13.07.2022,23.08.1964,110-120k,M,Haas-Näf,Remo Bernasconi,Séverine Huber,Network Administrator,2d89a3e2-29c4-43fc-89d5-f5a54d41f5b9,pseudonymized_Nachname_146,Luzern,Eingereicht,01852e3c-7e55-47c0-ac71-eceac87a53f7,pseudonymized_Telefonnummer_146,04.06.2023,pseudonymized_Vorname_146,8216
Unvollständige Bewerbung,"Pseudonymized, 7522 Thurgau",14.07.2023,Headhunter,sehr gut,knapp ungenügend,knapp ungenügend,pseudonymized_E-Mail_147,75279.17,16.07.2023,27.10.1963,130-140k,M,Maurer Inc,Aloisia Stöckli-Bühlmann,Franca Zürcher,Network Administrator,f4e12c56-36c2-4d40-9ac8-df9b91646add,pseudonymized_Nachname_147,Luzern,Angebot,70d5014c-1961-4b5e-bf97-eb8a78f878b8,pseudonymized_Telefonnummer_147,07.10.2023,pseudonymized_Vorname_147,05e8
Andere,"Pseudonymized, 2492 Schaffhausen",09.08.2022,Headhunter,gut,deutlich ungenügend,genügend,pseudonymized_E-Mail_148,81929.48,23.01.2024,21.09.1978,90-100k,M,Zehnder Inc,Dr. Mercedes Kaiser,Séverine Huber,Accountant,0b477e3e-e750-421f-986c-45fb46145d6d,pseudonymized_Nachname_148,Bern,Angebot,1d79e2ec-635e-41ab-9538-c993de04ec47,pseudonymized_Telefonnummer_148,19.10.2022,pseudonymized_Vorname_148,eb83
Zu wenig Erfahrung,"Pseudonymized, 1618 Graubünden",04.06.2022,Headhunter,knapp ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_149,97190.8,12.07.2023,02.07.2000,110-120k,M,Spörri-Gasser,Ela Imhof Bachmann,Joachim Kaiser,Recruiter,e1b7f4a8-991f-41b3-9218-75fc7799acd1,pseudonymized_Nachname_149,Luzern,Prescreening,f58bc4b7-e6fd-49b9-8fb5-fa3284c8db82,pseudonymized_Telefonnummer_149,11.01.2023,pseudonymized_Vorname_149,9bd1
Unvollständige Bewerbung,"Pseudonymized, 4230 Bern",08.02.2022,Headhunter,genügend,knapp ungenügend,genügend,pseudonymized_E-Mail_150,91164.68,14.03.2024,05.06.1959,80-90k,M,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Gregor Eichenberger,Network Administrator,5d8b899c-ebf2-499e-9469-bfd61308f695,pseudonymized_Nachname_150,Bern,Prescreening,bef5bbcd-114a-4747-a695-35e79b0ca99e,pseudonymized_Telefonnummer_150,22.12.2022,pseudonymized_Vorname_150,f8f9
Überqualifiziert,"Pseudonymized, 3044 Genf",20.02.2022,Headhunter,knapp ungenügend,gut,knapp ungenügend,pseudonymized_E-Mail_151,95999.58,23.05.2023,15.04.1967,120-130k,M,Tanner-Stadelmann,Jasin Näf,Margret Hasler,Database Administrator,e3eee01e-d782-4a96-b45a-c43980dea1fa,pseudonymized_Nachname_151,Luzern,Eingereicht,e8344577-0dee-4357-8935-3a1f65ff4b1c,pseudonymized_Telefonnummer_151,09.11.2022,pseudonymized_Vorname_151,4426
Bessere Kandidaten,"Pseudonymized, 3750 Aargau",12.04.2024,Headhunter,gut,knapp ungenügend,genügend,pseudonymized_E-Mail_152,77592.38,03.05.2024,03.05.2005,90-100k,F,Spörri-Gasser,Ela Imhof Bachmann,Hermine Hess,Event Coordinator,9ddb56fb-fa73-4c44-9fe8-f64af4d0cad7,pseudonymized_Nachname_152,Zürich,Abgelehnt,5176907a-858b-4312-8ea8-5aebc1f85369,pseudonymized_Telefonnummer_152,25.05.2024,pseudonymized_Vorname_152,6c7d
Unvollständige Bewerbung,"Pseudonymized, 1648 Glarus",01.03.2024,Headhunter,knapp ungenügend,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_153,88241.32,30.05.2024,13.06.1998,130-140k,M,Zingg-Gasser,Damaris Zbinden,Kristian Furrer,Network Administrator,4e4c909d-0c00-4c10-b0df-375aec47326d,pseudonymized_Nachname_153,Luzern,Angebot,9385be83-8622-43c6-80e7-caa905105760,pseudonymized_Telefonnummer_153,29.05.2024,pseudonymized_Vorname_153,2231
Gehaltsvorstellungen zu hoch,"Pseudonymized, 3314 Appenzell Ausserrhoden",15.03.2020,Headhunter,genügend,knapp ungenügend,gut,pseudonymized_E-Mail_154,111500.43,26.07.2020,06.10.1966,70-80k,F,Tanner-Stadelmann,Jasin Näf,Wanda Giger,Software Engineer,17a0a2f5-7f10-48ab-9c78-05dc72ba6344,pseudonymized_Nachname_154,Zürich,1. Interview,774aee5a-5440-4afd-ac46-bccab916f9ad,pseudonymized_Telefonnummer_154,19.09.2023,pseudonymized_Vorname_154,3aaf
Nicht verfügbar,"Pseudonymized, 3415 Glarus",06.04.2023,Headhunter,knapp ungenügend,knapp ungenügend,gut,pseudonymized_E-Mail_155,113150.67,18.09.2023,10.02.1969,>140k,F,Ziegler Inc,Teresa Schneider,Irene Fuchs,PR Specialist,b882d5f3-96bf-45b6-9404-75d9f9a12b8b,pseudonymized_Nachname_155,Bern,Abgelehnt,0d9af962-4870-4b0e-993e-026e2e05ec73,pseudonymized_Telefonnummer_155,08.03.2024,pseudonymized_Vorname_155,f35e
Gehaltsvorstellungen zu hoch,"Pseudonymized, 1226 Basel-Landschaft",20.04.2024,Headhunter,genügend,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_156,116382.9,04.05.2024,17.09.1998,90-100k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Prof. Layla Küng,Social Media Manager,94f9f007-b922-4a78-b5b5-c390261483d4,pseudonymized_Nachname_156,Luzern,Eingereicht,98e2d005-3f1f-4641-a442-7ff737b7db3a,pseudonymized_Telefonnummer_156,22.04.2024,pseudonymized_Vorname_156,105b
Nicht verfügbar,"Pseudonymized, 6313 Thurgau",29.09.2022,Headhunter,deutlich ungenügend,genügend,gut,pseudonymized_E-Mail_157,62641.38,31.05.2024,03.08.1967,100-110k,F,Albrecht-Forster,Dr. Petr Siegrist,Manon Bättig,Payroll Specialist,62f2a879-1d04-47f3-ba35-e9d10473a1a6,pseudonymized_Nachname_157,Zürich,Prescreening,af882a37-66a2-4742-a5f4-1fa5bb975a3c,pseudonymized_Telefonnummer_157,20.04.2023,pseudonymized_Vorname_157,d42c
Überqualifiziert,"Pseudonymized, 5051 Appenzell Ausserrhoden",12.11.2022,Headhunter,sehr gut,gut,gut,pseudonymized_E-Mail_158,55355.12,07.07.2023,28.07.2003,70-80k,F,Zehnder Inc,Dr. Mercedes Kaiser,Séverine Huber,HR Specialist,0a95d744-d6c1-45d2-b6da-05f109a887c7,pseudonymized_Nachname_158,Bern,Assessment,123a9121-1f9d-4a67-8cc5-568d8abc17bc,pseudonymized_Telefonnummer_158,06.10.2023,pseudonymized_Vorname_158,2a30
Unzureichende Qualifikationen,"Pseudonymized, 1259 Basel-Stadt",23.06.2022,Headhunter,gut,genügend,gut,pseudonymized_E-Mail_159,51400.25,26.06.2023,30.06.1961,70-80k,M,Spörri-Gasser,Ela Imhof Bachmann,Ghislaine Walter,Recruiter,19932bf7-1caa-4027-acbb-fc5b6dff1baf,pseudonymized_Nachname_159,Luzern,Angebot,d6111e02-a5a5-4e0f-b5ca-2db9200c5922,pseudonymized_Telefonnummer_159,25.06.2023,pseudonymized_Vorname_159,bb0a
Nicht verfügbar,"Pseudonymized, 1906 Graubünden",02.04.2021,Headhunter,gut,sehr gut,sehr gut,pseudonymized_E-Mail_160,100032.47,02.11.2021,25.09.1994,50-60k,F,Haas-Näf,Remo Bernasconi,Margret Hasler,HR Specialist,23215d12-45cf-4f9c-ad34-3a2b822478fb,pseudonymized_Nachname_160,Zürich,Eingereicht,829a71e1-829d-4e14-a94f-ec05529d1e85,pseudonymized_Telefonnummer_160,09.03.2022,pseudonymized_Vorname_160,3964
Bessere Kandidaten,"Pseudonymized, 8681 Glarus",14.12.2023,Headhunter,knapp ungenügend,knapp ungenügend,knapp ungenügend,pseudonymized_E-Mail_161,79097.63,11.03.2024,18.09.1985,50-60k,F,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Zahra Hug Lutz,SEO Specialist,c00f8ac4-2134-404d-896c-4946b876ebc6,pseudonymized_Nachname_161,Zürich,Abgelehnt,63f9c71d-fb28-4db3-90f5-5b1f657ef090,pseudonymized_Telefonnummer_161,02.06.2024,pseudonymized_Vorname_161,fcab
Nicht verfügbar,"Pseudonymized, 3955 Appenzell Ausserrhoden",20.02.2021,Headhunter,deutlich ungenügend,sehr gut,deutlich ungenügend,pseudonymized_E-Mail_162,95119.64,20.08.2021,28.11.1980,>140k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Wanda Giger,Recruiter,c46ad27b-f748-4d5c-9303-400e9982cbd5,pseudonymized_Nachname_162,Luzern,Angebot,90c20cf0-b7b0-4c93-b65a-142f6ebdd66f,pseudonymized_Telefonnummer_162,16.04.2022,pseudonymized_Vorname_162,73bf
Unzureichende Qualifikationen,"Pseudonymized, 2719 Solothurn",24.11.2020,Headhunter,gut,deutlich ungenügend,gut,pseudonymized_E-Mail_163,129699.25,14.11.2021,24.05.1990,60-70k,M,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Irene Fuchs,Accountant,9e922059-7db2-4ba9-b44a-09dc9b82d311,pseudonymized_Nachname_163,Zürich,Assessment,465af1d1-eed6-462f-9c92-d557fc4565f9,pseudonymized_Telefonnummer_163,13.08.2022,pseudonymized_Vorname_163,bf44
Unvollständige Bewerbung,"Pseudonymized, 8388 Tessin",15.05.2024,Headhunter,sehr gut,deutlich ungenügend,sehr gut,pseudonymized_E-Mail_164,76958.79,27.05.2024,26.10.1972,100-110k,F,Zehnder Inc,Dr. Mercedes Kaiser,Franca Zürcher,Brand Manager,575978ef-e8a9-4cb2-b58b-7e5312d037f1,pseudonymized_Nachname_164,Zürich,Eingereicht,51417c0a-b323-4149-85db-448d46d10768,pseudonymized_Telefonnummer_164,19.05.2024,pseudonymized_Vorname_164,f8de
Überqualifiziert,"Pseudonymized, 3282 Tessin",07.05.2023,Headhunter,genügend,genügend,deutlich ungenügend,pseudonymized_E-Mail_165,53344.9,22.05.2023,30.05.1994,60-70k,M,Zingg-Gasser,Damaris Zbinden,Greta Berger-Eichenberger,PR Specialist,78a31081-d592-48d2-acb2-6fb91a6d9b18,pseudonymized_Nachname_165,Zürich,Angebot,3bde64eb-4d20-4926-b675-b30733fe5cc7,pseudonymized_Telefonnummer_165,04.01.2024,pseudonymized_Vorname_165,efe7
Nicht verfügbar,"Pseudonymized, 3954 Bern",19.09.2021,Headhunter,knapp ungenügend,deutlich ungenügend,sehr gut,pseudonymized_E-Mail_166,119463.86,14.10.2021,06.07.2000,100-110k,F,Zingg-Gasser,Damaris Zbinden,Kristian Furrer,Auditor,aea725d4-b952-4c95-b583-c08045eeaaa0,pseudonymized_Nachname_166,Luzern,Abgelehnt,5073e2c4-6264-4662-b372-9bda404d6713,pseudonymized_Telefonnummer_166,13.12.2022,pseudonymized_Vorname_166,c1b0
Nicht verfügbar,"Pseudonymized, 6648 Thurgau",19.09.2021,Headhunter,sehr gut,sehr gut,deutlich ungenügend,pseudonymized_E-Mail_167,95580.07,01.02.2024,06.10.1966,60-70k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Joachim Kaiser,Event Coordinator,2894d9ff-5bf1-47a6-8aad-6fba85c6f4cc,pseudonymized_Nachname_167,Luzern,Abgelehnt,42e40924-d62d-48e2-a205-c2a3216ecdec,pseudonymized_Telefonnummer_167,04.07.2022,pseudonymized_Vorname_167,4db6
Zu wenig Erfahrung,"Pseudonymized, 2911 Zürich",19.06.2020,Headhunter,deutlich ungenügend,gut,deutlich ungenügend,pseudonymized_E-Mail_168,54048.36,05.12.2023,02.08.1979,120-130k,F,Spörri-Gasser,Ela Imhof Bachmann,Margret Hasler,IT Manager,6423d380-55b0-4761-af5a-b9a5cd230cb1,pseudonymized_Nachname_168,Zürich,Angebot,d923cb73-9373-4d20-8981-b91aecfeed6c,pseudonymized_Telefonnummer_168,27.04.2023,pseudonymized_Vorname_168,13ff
Überqualifiziert,"Pseudonymized, 4215 Freiburg",01.06.2020,Headhunter,sehr gut,gut,gut,pseudonymized_E-Mail_169,67426.69,05.07.2021,29.04.1983,90-100k,M,Ziegler Inc,Teresa Schneider,Kristian Furrer,Graphic Designer,fc0cd37b-fa63-48aa-9922-93465df24e11,pseudonymized_Nachname_169,Zürich,Assessment,09c96c50-6f2d-401d-a113-2a98fb984a24,pseudonymized_Telefonnummer_169,23.11.2022,pseudonymized_Vorname_169,2aff
Andere,"Pseudonymized, 2742 Schaffhausen",29.04.2023,Headhunter,gut,gut,gut,pseudonymized_E-Mail_170,96662.85,22.02.2024,15.01.1974,90-100k,F,Tanner-Stadelmann,Jasin Näf,Séverine Huber,Payroll Specialist,e1fb489c-d5a5-44ba-861f-0a7cc326daf4,pseudonymized_Nachname_170,Luzern,1. Interview,58137528-4b17-4b1d-b423-2fbb4b5cc1fe,pseudonymized_Telefonnummer_170,02.11.2023,pseudonymized_Vorname_170,156f
Nicht verfügbar,"Pseudonymized, 2330 Bern",03.04.2022,Headhunter,gut,gut,sehr gut,pseudonymized_E-Mail_171,93041.67,23.12.2023,27.03.1963,>140k,M,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Greta Berger-Eichenberger,Copywriter,e60854d6-7d24-413f-9f01-274994850ded,pseudonymized_Nachname_171,Zürich,Prescreening,04142fe2-e4a2-4df6-80f2-ec0e0aa96124,pseudonymized_Telefonnummer_171,17.07.2022,pseudonymized_Vorname_171,b88a
Nicht verfügbar,"Pseudonymized, 9275 Tessin",24.02.2022,Headhunter,knapp ungenügend,gut,deutlich ungenügend,pseudonymized_E-Mail_172,58383.18,16.12.2023,31.12.1996,80-90k,M,Zehnder Inc,Dr. Mercedes Kaiser,Greta Berger-Eichenberger,Accountant,2950f4d2-d301-4ea8-8fa4-0966041b0e10,pseudonymized_Nachname_172,Zürich,Assessment,4ccd322b-4423-4ad9-8a94-f3181d94e652,pseudonymized_Telefonnummer_172,22.02.2024,pseudonymized_Vorname_172,5202
Andere,"Pseudonymized, 4781 Graubünden",02.03.2022,Headhunter,knapp ungenügend,gut,genügend,pseudonymized_E-Mail_173,70948.3,08.04.2022,23.06.1988,90-100k,M,Zehnder Inc,Dr. Mercedes Kaiser,Wanda Giger,HR Specialist,5ef217f0-38bb-44c1-a8e2-95f0c89c3220,pseudonymized_Nachname_173,Luzern,1. Interview,5a13ffb1-1625-426a-a404-f977cc9ae836,pseudonymized_Telefonnummer_173,14.01.2024,pseudonymized_Vorname_173,8461
